x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,expect
1,2.67,1.33,1.33,1.33,2,1.6,1.3,1.3,2.67,1.33,1.67,1.33,2,1,1.67,0.33,0.6,1.8,1,1.6,1,1.67,1,0.67,0
1,2,1.67,1.67,1.67,1.4,1.2,0.9,2,2,1.67,1.67,1.67,1.67,1.33,0.67,1.33,2.2,1.2,2,0.8,2.33,1.33,2,1,1
1,0.67,2,0.67,3,0.6,1.8,0.5,1.9,0.67,2,0.67,3,1.33,1.67,0.67,1,1.2,1.2,1.3,1.4,1.33,1.33,0.67,1,0
1,1.67,1,1,1.33,2,1,1.6,1.4,1.67,1,1,1.33,1.67,2,1.33,2.33,1.8,2.2,1.4,1.9,1.67,2,1.33,2.33,0
1,1.67,0.33,1.67,0.67,3,0.2,2.1,0.5,2.67,0.33,3.33,0,0,1.67,0,1.33,0.2,1.4,1.1,1.6,0,1.67,0,1.33,0
1,2.33,0.67,2.33,1.33,1.6,1.2,1.9,1.4,2.33,0.67,2.33,1.33,0,2.67,0.33,2.33,0.4,1.6,0.6,1.6,0,2.67,0.33,2.33,0
1,0.67,1.33,0.67,1,1,0.8,1.3,1.3,1,0.67,1,1,1.33,1,1.67,1,2.6,1.4,2.6,1,1.33,1,1.67,1,1
1,2,2,1.67,1.67,1.13,1.13,1.13,1.25,2,1.67,1.67,1.33,1,1.33,2.67,0.67,2,1.25,2.25,0.81,1,1,2,0.67,0
1,0.67,0.33,1.33,1.67,0.88,0.75,1.19,1.38,0.67,0.67,1,1.33,2.33,1.33,3.33,1.67,1.5,1.25,1.75,1.19,1.33,1.67,2.33,1.33,1
1,1.33,0.33,1,3,1.43,1.14,1.06,1.44,1.33,0.33,1.33,2,1,0.33,0.67,1.67,0.71,1.71,0.88,1.5,1,0.33,0.67,1.67,0
1,1.33,1.33,1,0.67,0.86,1.43,0.63,1.25,1.33,1.33,1,0.67,1.33,1,2.33,0.67,1.43,1.57,1.81,1.06,1.33,1,2.33,0.67,0
1,0.33,1,0.33,1,1.14,1.43,0.94,1.44,0.33,1,0.33,1,0.67,1.67,1.33,1.67,1,1.71,1.31,1.19,0.67,1.67,1.33,1.67,0
1,2.33,1.33,1,1.67,1.75,1.25,1.06,1.88,2.33,1.33,1,1.67,0.33,0.67,0.67,0.67,0.43,1,0.94,1.25,0.33,0.67,0.67,0.67,1
1,1,1.67,0.33,1.33,2.25,0.75,1.56,0.81,1,1.67,0.33,1.33,1,1,1,1,1.38,1.25,1.69,1.5,0.67,1.33,1.33,1,1
1,2,0.33,2,0.67,1.13,1.13,1.25,1.38,1,1,0.67,1.33,0.67,2,0.67,1,0.57,1.86,0.69,1.5,0.67,2,0.67,1,1
1,1.33,0.33,2,1,1.5,0.88,1.69,1.19,1.33,0.33,2,1,1,2.33,0.67,2,0.5,1.75,0.94,1.69,1,2.33,0.67,2,0
1,2,1,1.33,0,1.71,0.71,2.06,1,1.33,0.33,2,0.33,0.33,0.67,0.33,0.67,1.25,1.63,1.19,1.5,0.33,0.67,0.33,0.67,1
1,2,1.67,1.33,0.67,1.83,1.33,1.62,1.15,2,1.33,1,1.33,1.67,1,1,1.33,1.17,0.83,1.85,0.69,0.67,0.67,1,1.33,0
1,3.33,0.33,2.33,0,2.5,0.5,2.31,0.85,2,0.33,1.33,0.33,2,1,1.67,0.67,1.5,1.5,1.38,1.38,1.67,2,1.67,1.33,1
1,1.67,0.33,1.67,1,2,2,1.77,1.62,1.67,0.33,1.33,1.33,0,1.33,0.33,2,0.86,1.43,1.08,1.54,0,1.33,0.33,2,0
1,0.33,1,0.33,0.33,1,1,0.92,1.86,0.33,1,0.33,0.33,2,1.33,2.67,1,2.29,1.14,2.08,1,2,1.33,2.33,1,1
1,1.67,2,1.33,1,1.33,1.5,1.38,1.69,1.67,2,1.33,1,0.33,1,0.67,0.67,0.43,1.29,0.54,1.38,0.33,1,0.67,0.67,0
1,0.67,1.67,0,1.67,1.43,1.57,1,1.38,0.67,1.67,0,1.67,2,1.67,0.67,0.67,2,1.67,1.62,1.23,2,1.67,0.67,0.67,1
1,1,0.67,1.33,0.67,0.71,1.43,0.69,1.62,1,1.33,1.33,0.67,1.33,0.33,1,0.33,0.71,1.43,1,1.31,1,1,1,0.33,0
1,0.67,1,0.67,1.67,1.67,1.5,1,1.62,0.67,1,0.67,1.67,1,2,1.33,1.67,1.5,2,1.23,1.38,1.33,2,1,1.67,1
1,1.67,0.33,2,0.33,2,1.71,1.69,1.15,1.67,0.33,2,0.33,0.67,1,1,1.33,1,1.29,1,1.23,0.67,1,1,1.33,1
1,1.67,0.67,1.33,1.33,1.57,0.71,1.31,1.08,1.67,0.67,1.33,1.33,0.33,1.67,1.67,1.67,0.33,2.5,1.08,1.92,0.33,1.67,1.67,1.67,0
1,0.33,2.33,0.33,1.33,0.6,1.6,0.45,1.45,0.33,2.33,0.33,1.33,1.33,1,2,0.67,1.2,0.8,2.09,0.45,0.67,0.33,1.33,0,0
1,1.33,1.67,0,0.67,1.4,1.6,1.18,1.36,1.33,1.67,0,0.67,1.67,2,1.67,1.33,1.4,1.6,1.27,1.45,1.33,2,1.33,1.67,1
1,1.33,1.67,1,2,1,1.6,1.27,1.82,1.33,1.67,1,2,1,1.33,0.33,1.33,1.6,1.8,1.27,1.36,1.33,2,0.33,1,1
1,2.67,1.67,2.33,1.67,2,1.2,1.73,1.18,2,1,2,0.67,1.67,2.67,0.67,0.67,1.2,1.8,1.55,1.27,1.67,2.67,0.67,0.67,1
1,3.33,0.33,1.33,1,2.6,0.6,2.55,1,2.33,0.33,1.67,1,1,1.33,0.67,1.33,0.6,1,1.18,1.36,1,0.67,1,1.33,0
1,2,0,1.33,0.33,2,2.2,1.82,1.64,1.67,1,1.33,0.67,2,1.67,1.33,1,2.2,1.6,1.73,1.27,2,1.67,1.33,1,1
1,2.33,2,0,1.67,2,1.8,1,1.64,2.33,2,0,0.67,1,3,1.33,1.33,1,2.4,1.09,1.73,1,3,1.33,1.33,0
1,0.67,1.33,1.33,1.33,1.8,0.8,2,1.33,2,0.67,1.33,1.33,0.67,1.33,1,1,1,1.4,1.36,1,0.33,0.67,1.33,0.33,1
1,1.33,0.67,1.67,0,1.4,1.4,1.09,1.45,1.33,0.67,1.33,0.67,0.67,2,1.67,1.33,0.4,2.8,1,2,0.67,2,1.67,1.33,0
1,2,2,2,2,1,1,1.09,1.18,1.67,1,1.33,1.33,0.67,3,0.67,2,0.4,2,0.55,1.73,0.67,3,0.67,2,1
1,1,1,2,1,1,0.89,1.22,1.33,1,0.67,1,1.67,1,1.67,1,0.67,1,1.5,1.28,1.06,1,1.67,1,0.67,1
1,1,0.67,0.33,2.67,1.25,1.13,1,1.5,1,0.67,0.67,2.67,0.33,2,1,1.33,1.22,1.44,1.5,1.56,0.33,2,1,1.67,1
1,1.33,1,0.33,1,0.88,1.38,0.61,1.22,1.33,1,0.33,1,0.33,0,1,1.33,0.75,1.5,0.89,1.5,0.33,0,1,1.33,0
1,0.33,1,1,1.33,1,1.38,1,1.39,0.33,1,1,1.33,1,2.33,0.33,1.67,0.44,1.78,0.89,1.72,1,2.33,0.33,1.67,0
1,2.333333333,0.666666667,2.333333333,0.333333333,1.88,0.63,2.17,0.83,2,0.33,2.33,0.33,1,1.666666667,0.666666667,1,0.63,1.88,0.67,1.5,1,1.67,0.67,1,1
1,2.666666667,1.333333333,1.666666667,2.333333333,1.89,1.33,1.17,1.89,2.67,1.33,1.67,2.33,0.333333333,1.333333333,0.666666667,2.333333333,1.11,1.78,0.090909091,0.014925373,0.33,1.33,0.67,2.33,0
1,1.333333333,2,0.666666667,1,1.13,1.25,1.06,1.22,1.33,1.67,0.67,1,0.666666667,1.666666667,1.333333333,2,0.63,1.25,1,1.44,0.67,1.67,1.33,2,0
1,2,0.333333333,1,1,1.56,0.78,1.61,1.17,2,0.33,1,1,2.666666667,2,2.666666667,1.333333333,1.56,1.33,1.78,1.22,1.67,1.67,2.67,1.33,1
1,1.333333333,1.666666667,2,0.67,2.33,0.67,1.72,0.78,1.33,1.67,2,0.67,2,0.67,2.333333333,0.33,2,1.11,2.22,0.72,1,0.67,2,0,0
1,2,0.33,2.67,0.67,1.22,1.11,1.33,1.33,1.33,0.67,2,1,1.67,1,2.33,0.67,1.38,1.5,1.83,1.06,1.67,1,2.33,0.67,0
1,1,1,0.33,1,1.86,1.86,1.6,1.53,1,0.67,0.67,1.33,0.33,1.67,1.67,1.33,0.29,2.43,1.07,1.8,0.33,1.67,1.67,1.33,1
1,1.67,0.67,1.33,1.33,1.63,0.63,1.33,1.13,1.67,0.67,1.33,1.33,0.67,1.67,0,1.33,1.29,1.71,1.2,1.4,1.33,1.67,0.67,1.33,1
1,2,0.33,2.33,0.67,2,0.75,1.73,1.13,2,0.33,2.33,0.67,2,2,1.33,0.67,1.71,1.86,1.27,1.27,1.33,1.67,1.33,0.33,1
1,1.33,0.67,2.33,1.33,1.71,1.14,1.6,1.2,1.67,0.67,1.33,1,1,0.67,1,1,0.75,1.38,1.07,1.27,1,0.67,1,1,1
1,1,0.67,0.67,1.33,0.75,1.38,0.67,1.6,1,0.67,0.67,1.33,0.67,0.67,0.33,2,1,0.86,0.67,0.8,0.67,0.67,0.33,2,0
1,2.67,0.33,2.33,1,2.57,0.43,2.27,0.87,2.33,0.33,1.33,0.67,0.33,1.67,0.33,1.33,0.88,1.38,1,1.4,0.33,1.67,0.33,1.33,0
1,1.33,1.67,0.33,0.67,1.14,1.43,1.2,1.53,1.33,1.67,0.33,0.67,1,1.33,1.33,1.67,1,1.38,1.13,1.27,1,1.33,1.33,1.33,0
1,0.33,1.33,1.33,2.67,1.57,1.71,1,1.73,0.33,1.33,1.33,2.67,3,0.33,2.33,0.33,2.5,1.13,2.13,0.71,3,1,2.67,0.33,0
1,0.67,1.67,0.33,1.33,1,1.38,0.87,1.53,0.67,1.67,0.33,1.33,1.67,1.67,2,0.67,2,1.57,1.73,1.2,1.67,1.67,2,0.67,0
1,0.33,1.67,0.33,1,1.38,1.63,0.93,1.33,0.33,1.67,0.33,1,0.67,0.33,1.33,0.67,0.5,1.13,0.67,1.27,0.67,0.33,1.33,0.67,0
1,0.67,1,1,1,1.7,1.6,1.36,1.55,1.33,1,1,2,1,2,0.67,1,0.6,1.3,0.95,1.38,1,2,0.67,1,0
1,2.33,1.67,2,1.33,2,0.9,2.14,1,2.67,1.33,2,1.67,1.33,1.67,1.67,0.67,1.45,1.36,1.76,1.19,1.33,1.67,1.67,1,0
1,1,1.33,1,1,1.45,0.91,1.52,1.19,1.33,1,1,1.33,1,1.33,0.67,1,0.91,1.36,0.95,1.29,1,1.33,0.67,0.67,1
1,2,2,1,2,1.6,1.4,1.14,1.62,2,2,2,2.33,1.67,0.33,1,0.33,1.1,0.8,1.67,0.71,1.33,0.67,1.33,0.33,1
1,0.33,0,0.33,0.33,0.7,1.1,0.52,1.1,0.33,0.33,0,0.33,1.33,0.33,1.67,1,1.4,1.6,1.38,1.29,0.67,1,2.33,1,0
1,1,1,1.67,2,0.82,1.18,0.9,1.57,1,0.67,2.33,2,1.33,0,2,0.33,0.91,1.45,1.05,1.48,0,1,0.67,0.33,1
1,1,0.67,1.33,0.67,1.3,1.5,0.95,1.57,0.67,1,1.33,0.67,0.67,1.33,1.33,1.67,0.91,1.36,1.05,1.24,0.67,1.33,1,1.33,0
1,0.33,1.33,1,1.67,1.64,1.18,1.1,1.76,1.33,1,0.67,1,1,0.33,1,0.67,1.2,1.3,1.62,1,0.67,0.67,0.33,0.67,0
1,1,1,1,2,1.45,0.73,1.24,1.19,1,1,1,2,2,2,2.67,1.67,2.4,0.3,2.19,0.9,2,0,2,2,1
1,3,1.67,2,1.33,1.45,1.18,1.43,1.38,2.33,1.33,2,1.67,1,1,1,1.33,0.8,1.3,0.86,1.38,1,0.33,0.67,0.67,1
1,2.67,0.67,1,0.33,2.2,0.7,1.7,1,2.67,0.67,1.33,0.67,1,1,1.33,0.67,1.11,0.89,1.7,0.75,1,1,2,0.67,0
1,2.67,0.67,1.33,1,2,1.11,1.7,1.25,2.33,0.67,1.33,1.33,1,1,2,0.67,1,1.2,1.1,1.15,1,1,1.33,0.33,1
1,0.67,1.67,1.33,0,1.11,1.56,1,1.5,0.67,1.67,0.33,1,1.67,1,2,1.33,1.44,1.56,1.45,1.35,1.33,1.67,2.33,1.33,1
1,0.67,0.67,2,2,0.7,1.2,0.85,1.6,0.67,0.67,1.67,2,0.67,2.33,0.33,1.33,0.44,2.44,1.1,1.75,0.67,2.33,0.67,1,1
1,2.33,0,2.33,2,2.44,0.33,2.2,0.95,2.33,0,2,2,0.33,2.67,2,2,0.8,1.8,1.2,1.6,1,2.67,2.33,2.67,0
1,1.33,1,1,2,1.78,1.67,1.45,1.65,1.33,1,0.67,2,2,0.33,2.33,1.67,2.4,1,2.2,0.9,2.67,0.67,2.67,1.67,0
1,0.67,1,1.33,0.67,1.33,1.67,0.95,1.65,0.67,2,1.33,1.33,0.33,0.67,0.33,0,0.4,1.1,0.55,1.1,0.33,0.67,0,0.33,0
1,1.33,0.67,2.67,2.33,1.5,0.7,1.25,1.2,1.33,0.67,1,1.67,0.67,1.33,1,1.33,1.67,1.56,1.55,1.2,1,1.33,0.67,1.67,0
1,1,1.67,0.67,2,1.3,1.6,0.95,1.45,1,1.67,0.67,2,1,1.67,0.67,1,1,1.4,1,1.3,1.33,1.33,1.67,0.67,0
1,1,1.33,1,1,1,1.5,0.9,1.4,1,2.67,1,1.33,2,0.67,2.67,1.33,1.44,1.78,1.4,1.35,1.33,1.33,2.33,1,0
